date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-05-12,ABAIRA,1,3,4,0.02,8739.0,457.72,8.0,,,,,
2020-05-12,ACAJUTIBA,1,0,1,0.0,15159.0,65.97,20.0,,,,,
2020-05-12,ADUSTINA,1,0,1,0.02,17040.0,58.69,36.0,,,,,
2020-05-12,AGUA FRIA,1,0,1,0.0,16970.0,58.93,19.0,,,,,
2020-05-12,AIQUARA,3,0,3,0.02,4446.0,674.76,3.0,,,,,
2020-05-12,ALAGOINHAS,11,0,11,0.19,151596.0,72.56,0.0,,,,,
2020-05-12,ALMADINA,1,0,1,0.0,5464.0,183.02,19.0,,,,,
2020-05-12,AMARGOSA,2,0,2,0.03,37241.0,53.7,0.0,,,,,
2020-05-12,AMELIA RODRIGUES,4,0,4,0.02,25102.0,159.35,17.0,,,,,
2020-05-12,ANGUERA,1,0,1,0.0,11221.0,89.12,2.0,,,,,
2020-05-12,ARACATU,2,0,2,0.0,13135.0,152.26,14.0,,,,,
2020-05-12,ARACI,1,0,1,0.0,54379.0,18.39,33.0,,,,,
2020-05-12,ARATACA,2,0,2,0.0,11019.0,181.5,13.0,,,,,
2020-05-12,AURELINO LEAL,1,0,1,0.02,11531.0,86.72,33.0,,,,,
2020-05-12,BARRA,2,0,2,0.03,53578.0,37.33,34.0,,,,,
2020-05-12,BARRA,DO,CHOCA,4,0.0,4.0,0.02,31603.0,126.57,3.0,,,
2020-05-12,BARRA,DO,ROCHA,3,0.0,3.0,0.05,5714.0,525.03,36.0,,,
2020-05-12,BARREIRAS,2,0,2,0.02,155439.0,12.87,4.0,,,,,
2020-05-12,BARRO PRETO,3,0,3,0.0,5591.0,536.58,15.0,,,,,
2020-05-12,BARROCAS,2,0,2,0.0,15978.0,125.17,2.0,,,,,
2020-05-12,BELMONTE,2,0,2,0.03,23328.0,85.73,33.0,,,,,
2020-05-12,BOA VISTA DO TUPIM,1,0,1,0.0,18576.0,53.83,5.0,,,,,
2020-05-12,BRUMADO,8,0,8,0.14,67195.0,119.06,32.0,,,,,
2020-05-12,BUERAREMA,20,0,20,0.02,18349.0,1089.98,2.0,,,,,
2020-05-12,CACHOEIRA,3,0,3,0.02,33470.0,89.63,3.0,,,,,
2020-05-12,CAETANOS,2,0,2,0.0,14542.0,137.53,8.0,,,,,
2020-05-12,CAIRU,1,0,1,0.02,18176.0,55.02,0.0,,,,,
2020-05-12,CALDEIRAO GRANDE,2,0,2,0.0,13327.0,150.07,13.0,,,,,
2020-05-12,CAMACAN,12,0,12,0.21,31988.0,375.14,0.0,,,,,
2020-05-12,CAMACARI,47,21,68,0.23,299132.0,227.32,3.0,,,,,
2020-05-12,CAMAMU,2,0,2,0.0,35316.0,56.63,8.0,,,,,
2020-05-12,CAMPO LOURDES,ALEGRE,DE,4,0.0,4.0,0.0,28798.0,138.9,10.0,,,
2020-05-12,CAMPO FORMOSO,1,0,1,0.02,71206.0,14.04,35.0,,,,,
2020-05-12,CANARANA,2,0,2,0.02,26176.0,76.41,50.0,,,,,
2020-05-12,CANAVIEIRAS,17,0,17,0.05,31099.0,546.64,8.0,,,,,
2020-05-12,CANDEIAS,28,5,33,0.58,87076.0,436.4,0.0,,,,,
2020-05-12,CANSANCAO,1,0,1,0.02,34834.0,28.71,32.0,,,,,
2020-05-12,CAPELA DO ALTO ALEGRE,1,0,1,0.0,11637.0,85.93,2.0,,,,,
