date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-26,FEIRA DE SANTANA,1717,4,88,1809,63,3.24,614872,294.21,0
2020-06-26,ITABERABA,61,9,138,208,0,0.37,64489,322.54,0
2020-06-26,SERRINHA,118,3,72,193,0,0.35,80861,238.68,0
2020-06-26,ARACI,54,0,96,150,19,0.27,54379,275.84,0
2020-06-26,VALENTE,74,0,74,148,0,0.27,28473,519.79,0
2020-06-26,TEOFILANDIA,32,0,110,142,0,0.25,22518,630.61,0
2020-06-26,CONCEICAO DO JACUIPE,111,0,6,117,0,0.21,33153,352.91,1
2020-06-26,CONCEICAO DO COITE,52,1,52,105,0,0.19,66612,157.63,0
2020-06-26,SANTA BARBARA,97,0,1,98,0,0.18,20791,471.36,0
2020-06-26,RUY BARBOSA ,15,2,54,71,2,0.13,30814,230.41,0
2020-06-26,AMELIA RODRIGUES,50,0,16,66,7,0.12,25102,262.93,0
2020-06-26,IPIRA,59,0,3,62,3,0.11,59595,104.04,0
2020-06-26,TERRA NOVA ,44,1,7,52,1,0.09,13033,398.99,0
2020-06-26,SAO GONCALO DOS CAMPOS,27,0,20,47,0,0.08,37550,125.17,0
2020-06-26,SANTALUZ,18,0,28,46,1,0.08,37348,123.17,0
2020-06-26,RIACHAO DO JACUIPE,21,0,25,46,5,0.08,33436,137.58,0
2020-06-26,ITAETE,0,0,46,46,0,0.08,16056,286.50,5
2020-06-26,QUEIMADAS,29,0,16,45,0,0.08,25439,176.89,0
2020-06-26,RAFAEL JAMBEIRO,36,0,8,44,0,0.08,22621,194.51,0
2020-06-26,RETIROLANDIA,21,0,20,41,9,0.07,14396,284.80,0
2020-06-26,IACU,26,0,11,37,0,0.07,24305,152.23,2
2020-06-26,MONTE SANTO ,27,0,7,34,0,0.06,49418,68.80,1
2020-06-26,BARROCAS,17,1,16,34,0,0.06,15978,212.79,0
2020-06-26,PINTADAS,29,0,3,32,0,0.06,10437,306.60,0
