date,id,municipio,total_obitos_munres
2020-07-13,2,ADUSTINA,1
2020-07-13,3,AGUA FRIA,1
2020-07-13,4,AIQUARA,1
2020-07-13,5,ALAGOINHAS,15
2020-07-13,6,ALCOBACA,1
2020-07-13,7,ALMADINA,1
2020-07-13,8,AMARGOSA,3
2020-07-13,9,AMELIA RODRIGUES,1
2020-07-13,10,ANAGE,1
2020-07-13,11,ANDORINHA,1
2020-07-13,12,APORA,2
2020-07-13,13,ARACI,3
2020-07-13,14,ARATUIPE,1
2020-07-13,15,AURELINO LEAL,1
2020-07-13,16,BARRA DO CHOCA,2
2020-07-13,17,BARREIRAS,7
2020-07-13,18,BARRO PRETO,3
2020-07-13,19,BELMONTE,1
2020-07-13,20,BRUMADO,3
2020-07-13,21,BUERAREMA,9
2020-07-13,22,CABACEIRAS DO PARAGUACU,1
2020-07-13,23,CACHOEIRA,1
2020-07-13,24,CACULE*,1
2020-07-13,25,CAETITE,1
2020-07-13,26,CAIRU,3
2020-07-13,27,CALDEIRAO GRANDE,1
2020-07-13,28,CAMACAN,11
2020-07-13,29,CAMACARI*,38
2020-07-13,30,CAMAMU*,5
2020-07-13,31,CAMPO ALEGRE DE LOURDES,2
2020-07-13,32,CAMPO FORMOSO,2
2020-07-13,33,CANAVIEIRAS,3
2020-07-13,34,CANDEIAS*,27
2020-07-13,35,CANDIDO SALES,4
2020-07-13,36,CANSANCAO,2
2020-07-13,37,CANUDOS,2
2020-07-13,38,CAPIM GROSSO,4
2020-07-13,39,CARDEAL DA SILVA,1
2020-07-13,40,CASA NOVA,5
2020-07-13,41,CASTRO ALVES,3
2020-07-13,42,CATU,4
2020-07-13,43,CICERO DANTAS,1
2020-07-13,44,COARACI,4
2020-07-13,45,CONCEICAO DA FEIRA,2
2020-07-13,46,CONDE,4
2020-07-13,47,CORACAO DE MARIA,1
2020-07-13,48,COTEGIPE,1
2020-07-13,49,CRISOPOLIS,1
2020-07-13,50,CRUZ DAS ALMAS,4
2020-07-13,51,DARIO MEIRA,2
2020-07-13,52,DIAS DAVILA,17
2020-07-13,53,EUCLIDES DA CUNHA,1
2020-07-13,54,EUNAPOLIS,19
2020-07-13,55,FEIRA DE SANTANA,65
2020-07-13,56,FILADELFIA,2
2020-07-13,57,FLORESTA AZUL,1
2020-07-13,58,GANDU,14
2020-07-13,59,GLORIA,3
2020-07-13,60,GONGOGI,2
2020-07-13,61,GOVERNADOR MANGABEIRA,1
2020-07-13,62,GUARATINGA,2
2020-07-13,63,IACU,4
2020-07-13,64,IBICARAI,3
2020-07-13,65,IBIRAPITANGA,3
2020-07-13,66,IBIRAPUA,1
2020-07-13,67,IBIRATAIA,2
2020-07-13,68,IBITIARA,1
2020-07-13,69,IBOTIRAMA,1
2020-07-13,70,ICHU,1
2020-07-13,71,IGAPORA,1
2020-07-13,72,IGRAPIUNA,1
2020-07-13,73,IGUAI,4
2020-07-13,74,ILHEUS,68
2020-07-13,75,INHAMBUPE,2
2020-07-13,76,IPECAETA,1
2020-07-13,77,IPIAU *,11
2020-07-13,78,IPIRA,3
2020-07-13,79,IRARA,1
2020-07-13,80,IRECE,2
2020-07-13,81,ITABELA,1
2020-07-13,82,ITABERABA,12
2020-07-13,83,ITABUNA,80
2020-07-13,84,ITACARE,5
2020-07-13,85,ITAGIBA,3
2020-07-13,86,ITAJUIPE,6
2020-07-13,87,ITAMARAJU,13
2020-07-13,88,ITANAGRA,2
2020-07-13,89,ITANHEM,2
2020-07-13,90,ITAPARICA,5
2020-07-13,91,ITAPE,2
2020-07-13,92,ITAPEBI,1
2020-07-13,93,ITAPETINGA,9
2020-07-13,94,ITAPICURU,1
2020-07-13,95,ITAPITANGA,1
2020-07-13,96,ITARANTIM,1
2020-07-13,97,ITATIM*,3
2020-07-13,98,ITIUBA*,1
2020-07-13,99,ITORORO,1
2020-07-13,100,ITUACU,1
2020-07-13,101,ITUBERA,6
2020-07-13,102,JACOBINA,2
2020-07-13,103,JAGUAQUARA,3
2020-07-13,104,JAGUARARI,1
2020-07-13,105,JAGUARIPE,2
2020-07-13,106,JANDAIRA,1
2020-07-13,107,JEQUIE,43
2020-07-13,108,JITAUNA,2
2020-07-13,109,JOAO DOURADO,2
2020-07-13,110,JUAZEIRO,33
2020-07-13,111,LAFAIETE COUTINHO,1
2020-07-13,112,LAJE,1
2020-07-13,113,LAURO DE FREITAS,55
2020-07-13,114,LUIS EDUARDO MAGALHAES,3
2020-07-13,115,MACARANI,1
2020-07-13,116,MADRE DE DEUS,3
2020-07-13,117,MANOEL VITORINO,3
2020-07-13,118,MANSIDAO,1
2020-07-13,119,MARACAS,2
2020-07-13,120,MARAGOGIPE,4
2020-07-13,121,MARAU,2
2020-07-13,122,MATA DE SAO JOAO,2
2020-07-13,123,MEDEIROS NETO,1
2020-07-13,124,MIGUEL CALMON,1
2020-07-13,125,MILAGRES,1
2020-07-13,126,MIRANTE,1
2020-07-13,127,MONTE SANTO,2
2020-07-13,128,MORPARA,2
2020-07-13,129,MUCUGE,1
2020-07-13,130,MUCURI,4
2020-07-13,131,MULUNGU DO MORRO,1
2020-07-13,132,MUNDO NOVO*,1
2020-07-13,133,MURITIBA,1
2020-07-13,134,NAZARE,3
2020-07-13,135,NILO PECANHA,1
2020-07-13,136,NOVA FATIMA,1
2020-07-13,137,NOVA IBIA,3
2020-07-13,138,NOVA VICOSA,3
2020-07-13,139,PARAMIRIM,1
2020-07-13,140,PARIPIRANGA,1
2020-07-13,141,PAU BRASIL,4
2020-07-13,142,PAULO AFONSO,8
2020-07-13,143,PINDOBACU,2
2020-07-13,144,PIRAI DO NORTE,1
2020-07-13,145,POCOES,2
2020-07-13,146,POJUCA,4
2020-07-13,147,PONTO NOVO,1
2020-07-13,148,PORTO SEGURO,7
2020-07-13,149,PRADO,3
2020-07-13,150,PRESIDENTE JANIO QUADROS,1
2020-07-13,151,PRESIDENTE TANCREDO NEVES,4
2020-07-13,152,QUEIMADAS,2
2020-07-13,153,QUIJINGUE,1
2020-07-13,154,REMANSO,1
2020-07-13,155,RIACHAO DO JACUIPE,2
2020-07-13,156,RIBEIRA DO POMBAL,1
2020-07-13,157,RIO DO PIRES,2
2020-07-13,158,RUY BARBOSA,2
2020-07-13,159,SALINAS DA MARGARIDA,1
2020-07-13,160,SALVADOR*,1441
2020-07-13,161,SANTA BARBARA,2
2020-07-13,162,SANTA CRUZ CABRALIA,2
2020-07-13,163,SANTA CRUZ DA VITORIA,1
2020-07-13,164,SANTA INES,1
2020-07-13,165,SANTA RITA DE CASSIA,1
2020-07-13,166,SANTA TERESINHA,1
2020-07-13,167,SANTALUZ,3
2020-07-13,168,SANTO AMARO,6
2020-07-13,169,SANTO ANTONIO DE JESUS,13
2020-07-13,170,SANTO ESTEVAO,1
2020-07-13,171,SAO FELIX,1
2020-07-13,172,SAO FRANCISCO DO CONDE,7
2020-07-13,173,SAO GONCALO DOS CAMPOS,3
2020-07-13,174,SAO JOSE DA VITORIA,1
2020-07-13,175,SAO JOSE DO JACUIPE,1
2020-07-13,176,SAO SEBASTIAO DO PASSE,7
2020-07-13,177,SAUBARA,3
2020-07-13,178,SEABRA,2
2020-07-13,179,SENHOR DO BONFIM,1
2020-07-13,180,SENTO SE,2
2020-07-13,181,SERRA PRETA,2
2020-07-13,182,SERRINHA,6
2020-07-13,183,SIMOES FILHO,39
2020-07-13,184,SOBRADINHO,11
2020-07-13,185,TANQUINHO,1
2020-07-13,186,TAPEROA,1
2020-07-13,187,TEIXEIRA DE FREITAS,27
2020-07-13,188,TEODORO SAMPAIO,1
2020-07-13,189,TERRA NOVA,1
2020-07-13,190,TUCANO,1
2020-07-13,191,UBAIRA,1
2020-07-13,192,UBAITABA,5
2020-07-13,193,UBATA,2
2020-07-13,194,UNA,1
2020-07-13,195,URANDI,2
2020-07-13,196,URUCUCA *,15
2020-07-13,197,UTINGA,1
2020-07-13,198,VALENCA,28
2020-07-13,199,VALENTE,3
2020-07-13,200,VARZEA DA ROCA,1
2020-07-13,201,VARZEDO,2
2020-07-13,202,VERA CRUZ,7
2020-07-13,203,VEREDA,1
2020-07-13,204,VITORIA DA CONQUISTA,22
2020-07-13,205,WENCESLAU GUIMARAES,3
2020-07-13,206,XIQUE-XIQUE,1
2020-07-13,207,CEARA/FORTALEZA,1
2020-07-13,208,MINAS GERAIS/JORDANIA,1
2020-07-13,209,PERNAMBUCO/AFRANIO,1
2020-07-13,210,PERNAMBUCO/CABO DE SANTO AGOSTINHO,1
2020-07-13,211,PERNAMBUCO/LAGOA GRANDE,1
2020-07-13,212,PERNAMBUCO/PETROLINA,2
2020-07-13,213,RIO DE JANEIRO/RIO DE JANEIRO,1
2020-07-13,214,RIO GRANDE DO SUL/CAXIAS DO SUL,1
2020-07-13,215,SAO PAULO/SAO PAULO,1
2020-07-13,216,TOCANTINS/NOVA ROSALANDIA*,1
2020-07-13,1,ALAGOINHAS,14
