date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-07-15,FEIRA DE SANTANA,4620,1,701,5322,116,4.79,614872.0,865.55,0.0,952.0,66.0,60.0
2020-07-15,CONCEICAO DO COITE,271,1,189,461,5,0.41,66612.0,692.07,1.0,177.0,0.0,0.0
2020-07-15,ARACI,161,0,290,451,12,0.41,54379.0,829.36,0.0,187.0,3.0,1.0
2020-07-15,ITABERABA,108,14,314,436,38,0.39,64489.0,676.08,0.0,109.0,12.0,6.0
2020-07-15,SERRINHA,192,0,136,328,30,0.3,80861.0,405.63,0.0,51.0,6.0,2.0
2020-07-15,SAO GONCALO DOS CAMPOS,66,0,187,253,3,0.23,37550.0,673.77,0.0,86.0,3.0,3.0
2020-07-15,CONCEICAO DO JACUIPE,186,0,44,230,3,0.21,33153.0,693.75,0.0,48.0,0.0,0.0
2020-07-15,VALENTE,48,0,161,209,0,0.19,28473.0,734.03,5.0,0.0,3.0,0.0
2020-07-15,SANTA BARBARA,173,0,20,193,0,0.17,20791.0,928.29,1.0,22.0,2.0,0.0
2020-07-15,RIACHAO DO JACUIPE,41,0,126,167,3,0.15,33436.0,499.46,0.0,24.0,2.0,1.0
2020-07-15,QUEIMADAS,64,0,100,164,2,0.15,25439.0,644.68,0.0,63.0,2.0,0.0
2020-07-15,TEOFILANDIA,42,0,120,162,0,0.15,22518.0,719.42,0.0,9.0,0.0,0.0
2020-07-15,AMELIA RODRIGUES,109,0,38,147,7,0.13,25102.0,585.61,0.0,41.0,1.0,1.0
2020-07-15,SANTALUZ,31,0,113,144,2,0.13,37348.0,385.56,1.0,52.0,3.0,3.0
2020-07-15,RUY BARBOSA,23,0,101,124,0,0.11,30814.0,402.41,0.0,27.0,2.0,1.0
