date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-08-06,FEIRA DE SANTANA,7265,3,1430,8698,123,4.81,614872,1414.60,0
2020-08-06,CONCEICAO DO COITE,626,1,488,1115,37,0.62,66612,1673.87,0
2020-08-06,ITABERABA,314,27,694,1035,32,0.57,64489,1604.92,0
2020-08-06,ARACI,319,0,398,717,7,0.40,54379,1318.52,0
2020-08-06,SERRINHA,299,0,385,684,0,0.38,80861,845.90,0
2020-08-06,SAO GONCALO DOS CAMPOS,114,0,279,393,1,0.22,37550,1046.60,0
2020-08-06,CONCEICAO DO JACUIPE,297,0,49,346,1,0.19,33153,1043.65,0
2020-08-06,SANTO ESTEVAO,235,0,66,301,3,0.17,52850,569.54,0
2020-08-06,QUEIMADAS,80,0,218,298,3,0.16,25439,1171.43,1
2020-08-06,RIACHAO DO JACUIPE,97,0,188,285,7,0.16,33436,852.37,0
2020-08-06,VALENTE,74,0,187,261,1,0.14,28473,916.66,0
2020-08-06,TANQUINHO,23,1,219,243,5,0.13,7918,3068.96,0
2020-08-06,SANTA BARBARA,200,0,38,238,0,0.13,20791,1144.73,0
2020-08-06,SANTALUZ,57,0,170,227,3,0.13,37348,607.80,0
2020-08-06,AMELIA RODRIGUES,168,0,52,220,1,0.12,25102,876.42,3
2020-08-06,IPIRA,189,0,26,215,13,0.12,59595,360.77,1
2020-08-06,TUCANO,86,2,118,206,6,0.11,50687,406.42,0
2020-08-06,TEOFILANDIA,57,0,141,198,1,0.11,22518,879.30,0
2020-08-06,RUY BARBOSA,26,0,160,186,0,0.10,30814,603.62,0
2020-08-06,RETIROLANDIA,111,0,74,185,0,0.10,14396,1285.08,0
2020-08-06,IRAQUARA,15,0,167,182,0,0.10,25216,721.76,4
2020-08-06,SERRA PRETA,73,0,99,172,0,0.10,14878,1156.07,0
2020-08-06,RAFAEL JAMBEIRO,116,1,48,165,1,0.09,22621,729.41,0
2020-08-06,CORACAO DE MARIA,70,2,92,164,0,0.09,22605,725.50,0
2020-08-06,MONTE SANTO,49,0,111,160,0,0.09,49418,323.77,0
2020-08-06,IACU,73,0,64,137,2,0.08,24305,563.67,0
2020-08-06,SOUTO SOARES,9,0,125,134,1,0.07,16979,789.21,1
2020-08-06,TERRA NOVA,78,1,46,125,6,0.07,13033,959.10,1
2020-08-06,CAPELA DO ALTO ALEGRE,83,1,34,118,2,0.07,11637,1014.01,0
2020-08-06,PINTADAS,63,0,54,117,1,0.06,10437,1121.01,1
2020-08-06,CANSANCAO,30,0,79,109,5,0.06,34834,312.91,1
2020-08-06,LENCOIS,9,0,93,102,0,0.06,11409,894.03,0
2020-08-06,EUCLIDES DA CUNHA,42,0,58,100,1,0.06,60585,165.06,0
2020-08-06,SEABRA,51,0,49,100,2,0.06,44091,226.80,0
2020-08-06,IRARA,52,0,48,100,40,0.06,29034,344.42,0
2020-08-06,NORDESTINA,25,1,71,97,2,0.05,13130,738.77,0
2020-08-06,SANTANOPOLI S,65,0,8,73,1,0.04,8943,816.28,1
2020-08-06,BARROCAS,52,0,21,73,3,0.04,15978,456.88,1
2020-08-06,MACAJUBA,19,0,47,66,2,0.04,11348,581.60,0
2020-08-06,ITAETE,3,0,54,57,0,0.03,16056,355.01,13
2020-08-06,IPECAETA,50,0,7,57,2,0.03,14487,393.46,1
2020-08-06,NOVA FATIMA,14,1,40,55,1,0.03,7812,704.05,0
2020-08-06,AGUA FRIA,37,0,17,54,0,0.03,16970,318.21,1
2020-08-06,UTINGA,18,0,35,53,0,0.03,19178,276.36,0
2020-08-06,LAMARAO,34,0,19,53,0,0.03,8307,638.02,0
