date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor,novos_casos,novos_obitos,taxa_letalidade,total_recuperados,codmun
2020-05-19,Feira de Santana,187,0,0,187,41,2.17,614872,304.13,0,2,0,0,187,0,0.0,185,2910800
2020-05-20,Feira de Santana,217,0,0,217,33,2.46,614872,352.92,0,3,0,0,30,0,0.0,214,2910800
2020-05-21,Feira de Santana,240,0,0,240,29,2.26,614872,390.33,0,3,0,0,23,0,0.0,237,2910800
2020-05-22,Feira de Santana,248,0,0,248,61,2.24,614872,403.34,0,3,1,0,8,1,0.4,244,2910800
2020-05-23,Feira de Santana,311,0,0,311,8,2.42,614872,505.8,0,3,1,0,63,0,0.32,307,2910800
2020-05-24,Feira de Santana,327,0,0,327,25,2.39,614872,531.82,0,3,1,0,16,0,0.31,323,2910800
2020-05-25,Feira de Santana,368,0,0,368,7,2.62,614872,598.5,0,4,1,0,41,0,0.27,363,2910800
2020-05-26,Feira de Santana,376,0,0,376,30,2.63,614872,611.51,0,4,1,0,8,0,0.27,371,2910800
2020-05-27,Feira de Santana,408,0,0,408,4,2.74,614872,663.55,0,4,1,0,32,0,0.25,403,2910800
2020-05-28,Feira de Santana,413,0,0,413,12,2.65,614872,671.68,0,243,4,1,5,3,0.97,166,2910800
2020-05-29,Feira de Santana,413,0,0,413,12,2.65,614872,671.68,0,243,4,1,0,0,0.97,166,2910800
2020-05-30,Feira de Santana,443,0,6,449,11,2.6,614872,730.23,0,267,5,2,36,1,1.11,177,2910800
2020-05-31,Feira de Santana,457,0,6,463,18,2.56,614872,753.0,0,280,6,3,14,1,1.3,177,2910800
2020-06-01,Feira de Santana,480,0,6,486,27,2.61,614872,790.41,0,297,6,4,23,0,1.23,183,2910800
2020-06-02,Feira de Santana,527,0,10,537,28,2.56,614872,873.35,0,332,6,5,51,0,1.12,199,2910800
2020-06-03,Feira de Santana,556,0,12,568,45,2.6,614872,923.77,0,355,6,5,31,0,1.06,207,2910800
2020-06-04,Feira de Santana,609,0,13,622,51,2.7,614872,1011.59,0,390,6,5,54,0,0.96,226,2910800
2020-06-05,Feira de Santana,703,0,16,719,44,2.77,614872,1169.35,0,385,6,5,97,0,0.83,328,2910800
2020-06-06,Feira de Santana,749,0,22,771,19,2.86,614872,1253.92,0,425,6,5,52,0,0.78,340,2910800
2020-06-07,Feira de Santana,764,0,27,791,22,2.84,614872,1286.45,0,436,7,6,20,1,0.88,348,2910800
2020-06-08,Feira de Santana,780,0,37,817,17,2.87,614872,1328.73,0,454,8,7,26,1,0.98,355,2910800
2020-06-09,Feira de Santana,802,0,37,839,28,2.82,614872,1364.51,0,448,9,7,22,1,1.07,382,2910800
2020-06-10,Feira de Santana,835,1,43,879,87,2.77,614872,1429.57,0,464,11,9,40,2,1.25,404,2910800
2020-06-11,Feira de Santana,910,1,63,974,17,2.91,614872,1584.07,0,551,11,9,95,0,1.13,412,2910800
2020-06-12,Feira de Santana,930,1,62,993,20,2.89,614872,1614.97,0,564,13,11,19,2,1.31,416,2910800
2020-06-13,Feira de Santana,930,1,63,994,19,2.81,614872,1616.6,0,548,17,15,1,4,1.71,429,2910800
2020-06-14,Feira de Santana,940,1,65,1006,15,2.78,614872,1636.11,0,553,19,17,12,2,1.89,434,2910800
2020-06-15,Feira de Santana,968,1,66,1035,28,2.78,614872,1683.28,0,563,26,22,29,7,2.51,446,2910800
2020-06-16,Feira de Santana,1018,1,71,1090,87,2.82,614872,1772.73,0,604,28,24,55,2,2.57,458,2910800
2020-06-17,Feira de Santana,1107,1,71,1179,27,2.93,614872,1917.47,0,679,28,24,89,0,2.37,472,2910800
2020-06-18,Feira de Santana,1108,1,71,1180,79,2.93,614872,1919.1,0,668,30,27,1,2,2.54,482,2910800
2020-06-19,Feira de Santana,1108,1,71,1180,79,2.93,614872,1919.1,0,668,30,27,0,0,2.54,482,2910800
2020-06-20,Feira de Santana,1219,1,72,1292,43,2.9,614872,210.13,0,673,31,28,112,1,2.4,588,2910800
2020-06-21,Feira de Santana,1283,1,73,1357,28,2.96,614872,220.7,0,716,31,28,65,0,2.28,610,2910800
2020-06-22,Feira de Santana,1339,2,75,1416,55,3.04,614872,230.29,0,740,37,35,59,6,2.61,639,2910800
2020-06-23,Feira de Santana,1339,2,75,1416,55,3.04,614872,230.29,0,740,37,35,0,0,2.61,639,2910800
2020-06-24,Feira de Santana,1339,2,75,1416,55,3.04,614872,230.29,0,740,37,35,0,0,2.61,639,2910800
2020-06-25,Feira de Santana,1653,4,87,1744,37,3.24,614872,283.64,0,895,41,36,328,4,2.35,808,2910800
2020-06-26,Feira de Santana,1717,4,88,1809,63,3.24,614872,294.21,0,909,44,39,65,3,2.43,856,2910800
2020-06-27,Feira de Santana,2628,4,303,2935,27,4.52,614872,477.34,0,1384,45,40,1126,1,1.53,1506,2910800
2020-06-28,Feira de Santana,2736,4,332,3072,33,4.54,614872,499.62,0,1302,46,40,137,1,1.5,1724,2910800
2020-06-29,Feira de Santana,2773,5,332,3110,49,4.51,614872,505.8,0,1286,46,40,38,0,1.48,1778,2910800
2020-06-30,Feira de Santana,2841,4,351,3196,138,4.49,614872,519.78,0,1153,48,43,86,2,1.5,1995,2910800
2020-07-01,Feira de Santana,2915,4,370,3289,273,4.42,614872,534.91,0,1066,49,44,93,1,1.49,2174,2910800
2020-07-02,Feira de Santana,3166,4,408,3578,308,4.6,614872,581.91,0,1192,49,44,289,0,1.37,2337,2910800
2020-07-03,Feira de Santana,3448,4,458,3910,149,4.84,614872,635.9,0,1404,49,44,332,0,1.25,2457,2910800
2020-07-04,Feira de Santana,3593,4,478,4075,91,4.85,614872,662.74,0,1427,52,45,165,3,1.28,2596,2910800
2020-07-05,Feira de Santana,3662,4,509,4175,57,4.84,614872,679.0,0,1450,54,48,100,2,1.29,2671,2910800
2020-07-06,Feira de Santana,3731,4,512,4247,30,4.85,614872,690.71,0,1420,54,49,72,0,1.27,2773,2910800
2020-07-07,Feira de Santana,3777,4,513,4294,213,4.77,614872,698.36,0,1288,59,54,47,5,1.37,2947,2910800
2020-07-08,Feira de Santana,3995,4,534,4533,187,4.84,614872,737.23,0,1344,60,55,239,1,1.32,3129,2910800
2020-07-09,Feira de Santana,4161,1,570,4732,80,4.9,614872,769.59,0,1383,60,55,199,0,1.27,3289,2910800
2020-07-10,Feira de Santana,4237,1,588,4826,81,4.85,614872,784.88,0,1286,61,57,94,1,1.26,3479,2910800
2020-07-11,Feira de Santana,4319,1,597,4917,104,4.8,614872,799.68,0,1353,61,57,91,0,1.24,3503,2910800
2020-07-12,Feira de Santana,4409,1,621,5031,64,4.8,614872,818.22,0,1441,64,59,114,3,1.27,3526,2910800
2020-07-13,Feira de Santana,4480,1,621,5102,27,4.81,614872,829.77,0,1489,65,59,71,1,1.27,3548,2910800
2020-07-14,Feira de Santana,4521,1,624,5146,163,4.76,614872,836.92,0,1028,66,60,44,1,1.28,4052,2910800
2020-07-15,Feira de Santana,4620,1,701,5322,116,4.79,614872,865.55,0,952,66,60,176,0,1.24,4304,2910800
2020-07-16,Feira de Santana,4711,1,743,5455,124,4.77,614872,887.18,0,830,67,61,133,1,1.23,4558,2910800
2020-07-17,Feira de Santana,4848,1,755,5604,121,4.79,614872,911.41,0,764,72,64,149,5,1.28,4768,2910800
2020-07-18,Feira de Santana,4863,1,763,5627,187,4.77,614872,915.15,0,572,72,64,23,0,1.28,4983,2910800
