regex,municipio
^[^A-Z]*FEIRA[^A-Z]+DE[^A-Z]+SANTANA[^A-Z]*$,Feira de Santana
^[^A-Z]*SERRINHA[^A-Z]*$,Serrinha
^[^A-Z]*ITABERABA[^A-Z]*$,Itaberaba
^[^A-Z]*ARACI[^A-Z]*$,Araci
^[^A-Z]*VALENTE[^A-Z]*$,Valente
^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+COITE[^A-Z]*$,Conceição do Coité
^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+COITÉ[^A-Z]*$,Conceição do Coité
^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$,Conceição do Jacuípe
^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$,Conceição do Jacuípe
^[^A-Z]*TEOFILANDIA[^A-Z]*$,Teofilândia
^[^A-Z]*TEOFILÂNDIA[^A-Z]*$,Teofilândia
^[^A-Z]*SANTA[^A-Z]+BARBARA[^A-Z]*$,Santa Bárbara
^[^A-Z]*SANTA[^A-Z]+BÁRBARA[^A-Z]*$,Santa Bárbara
^[^A-Z]*SAO[^A-Z]+GONCALO[^A-Z]+DOS[^A-Z]+CAMPOS[^A-Z]*$,São Gonçalo dos Campos
^[^A-Z]*SÃO[^A-Z]+GONÇALO[^A-Z]+DOS[^A-Z]+CAMPOS[^A-Z]*$,São Gonçalo dos Campos
^[^A-Z]*AMELIA[^A-Z]+RODRIGUES[^A-Z]*$,Amélia Rodrigues
^[^A-Z]*AMÉLIA[^A-Z]+RODRIGUES[^A-Z]*$,Amélia Rodrigues
^[^A-Z]*RUY[^A-Z]+BARBOSA[^A-Z]*$,Ruy Barbosa
^[^A-Z]*PINTADAS[^A-Z]*$,Pintadas
^[^A-Z]*IPIRA[^A-Z]*$,Ipirá
^[^A-Z]*IPIRÁ[^A-Z]*$,Ipirá
^[^A-Z]*MONTE[^A-Z]+SANTO[^A-Z]*$,Monte Santo
^[^A-Z]*SANTALUZ[^A-Z]*$,Santaluz
^[^A-Z]*RIACHAO[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$,Riachão do Jacuípe
^[^A-Z]*RIACHÃO[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$,Riachão do Jacuípe
^[^A-Z]*TERRA[^A-Z]+NOVA[^A-Z]*$,Terra Nova
^[^A-Z]*RAFAEL[^A-Z]+JAMBEIRO[^A-Z]*$,Rafael Jambeiro
^[^A-Z]*QUEIMADAS[^A-Z]*$,Queimadas
^[^A-Z]*RETIROLANDI[^A-Z]*A[^A-Z]*$,Retirolândia
^[^A-Z]*RETIROLÂNDI[^A-Z]*A[^A-Z]*$,Retirolândia
^[^A-Z]*NORDESTINA[^A-Z]*$,Nordestina
^[^A-Z]*CORACAO[^A-Z]+DE[^A-Z]+MARIA[^A-Z]*$,Coração de Maria
^[^A-Z]*CORAÇÃO[^A-Z]+DE[^A-Z]+MARIA[^A-Z]*$,Coração de Maria
^[^A-Z]*IRAQUARA[^A-Z]*$,Iraquara
^[^A-Z]*ITAETE[^A-Z]*$,Itaeté
^[^A-Z]*ITAETÉ[^A-Z]*$,Itaeté
