ibgeID,city,population,regex
2910800,Feira de Santana,614872,^[^A-Z]*FEIRA[^A-Z]+DE[^A-Z]+SANTANA[^A-Z]*$
2930501,Serrinha,80861,^[^A-Z]*SERRINHA[^A-Z]*$
2914703,Itaberaba,64489,^[^A-Z]*ITABERABA[^A-Z]*$
2902104,Araci,54379,^[^A-Z]*ARACI[^A-Z]*$
2933000,Valente,28473,^[^A-Z]*VALENTE[^A-Z]*$
2908408,Conceição do Coité,66612,^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+COITE[^A-Z]*$
2908408,Conceição do Coité,66612,^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+COITÉ[^A-Z]*$
2908507,Conceição do Jacuípe,33153,^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$
2908507,Conceição do Jacuípe,33153,^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$
2931509,Teofilândia,22518,^[^A-Z]*TEOFILANDIA[^A-Z]*$
2931509,Teofilândia,22518,^[^A-Z]*TEOFILÂNDIA[^A-Z]*$
2927507,Santa Bárbara,20791,^[^A-Z]*SANTA[^A-Z]+BARBARA[^A-Z]*$
2927507,Santa Bárbara,20791,^[^A-Z]*SANTA[^A-Z]+BÁRBARA[^A-Z]*$
2929305,São Gonçalo dos Campos,37550,^[^A-Z]*SAO[^A-Z]+GONCALO[^A-Z]+DOS[^A-Z]+CAMPOS[^A-Z]*$
2929305,São Gonçalo dos Campos,37550,^[^A-Z]*SÃO[^A-Z]+GONÇALO[^A-Z]+DOS[^A-Z]+CAMPOS[^A-Z]*$
2901106,Amélia Rodrigues,25102,^[^A-Z]*AMELIA[^A-Z]+RODRIGUES[^A-Z]*$
2901106,Amélia Rodrigues,25102,^[^A-Z]*AMÉLIA[^A-Z]+RODRIGUES[^A-Z]*$
2927200,Ruy Barbosa,30814,^[^A-Z]*RUY[^A-Z]+BARBOSA[^A-Z]*$
2924652,Pintadas,10437,^[^A-Z]*PINTADAS[^A-Z]*$
2914000,Ipirá,59595,^[^A-Z]*IPIRA[^A-Z]*$
2914000,Ipirá,59595,^[^A-Z]*IPIRÁ[^A-Z]*$
2921500,Monte Santo,49418,^[^A-Z]*MONTE[^A-Z]+SANTO[^A-Z]*$
2928000,Santaluz,37348,^[^A-Z]*SANTALUZ[^A-Z]*$
2926301,Riachão do Jacuípe,33436,^[^A-Z]*RIACHAO[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$
2926301,Riachão do Jacuípe,33436,^[^A-Z]*RIACHÃO[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$
2931707,Terra Nova,13033,^[^A-Z]*TERRA[^A-Z]+NOVA[^A-Z]*$
2925956,Rafael Jambeiro,22621,^[^A-Z]*RAFAEL[^A-Z]+JAMBEIRO[^A-Z]*$
2925808,Queimadas,25439,^[^A-Z]*QUEIMADAS[^A-Z]*$
2926103,Retirolândia,14396,^[^A-Z]*RETIROLANDI[^A-Z]*A[^A-Z]*$
2926103,Retirolândia,14396,^[^A-Z]*RETIROLÂNDI[^A-Z]*A[^A-Z]*$
2922656,Nordestina,13130,^[^A-Z]*NORDESTINA[^A-Z]*$
2908903,Coração de Maria,22605,^[^A-Z]*CORACAO[^A-Z]+DE[^A-Z]+MARIA[^A-Z]*$
2908903,Coração de Maria,22605,^[^A-Z]*CORAÇÃO[^A-Z]+DE[^A-Z]+MARIA[^A-Z]*$
2914406,Iraquara,25216,^[^A-Z]*IRAQUARA[^A-Z]*$
2915007,Itaeté,16056,^[^A-Z]*ITAETE[^A-Z]*$
2915007,Itaeté,16056,^[^A-Z]*ITAETÉ[^A-Z]*$
2928802,Santo Estêvão,52850,^[^A-Z]*SANTO[^A-Z]+ESTEVAO[^A-Z]*$
2928802,Santo Estêvão,52850,^[^A-Z]*SANTO[^A-Z]+ESTÊVÃO[^A-Z]*$
2911907,Iaçu,24305,^[^A-Z]*IACU[^A-Z]*$
2911907,Iaçu,24305,^[^A-Z]*IAÇU[^A-Z]*$
2906808,Cansanção,34834,^[^A-Z]*CANSANCAO[^A-Z]*$
2906808,Cansanção,34834,^[^A-Z]*CANSANÇÃO[^A-Z]*$
2903276,Barrocas,15978,^[^A-Z]*BARROCAS[^A-Z]*$
2900405,Água Fria,16970,^[^A-Z]*AGUA[^A-Z]+FRIA[^A-Z]*$
2900405,Água Fria,16970,^[^A-Z]*ÁGUA[^A-Z]+FRIA[^A-Z]*$
2931905,Tucano,50687,^[^A-Z]*TUCANO[^A-Z]*$
2931103,Tanquinho,7918,^[^A-Z]*TANQUINHO[^A-Z]*$
2910701,Euclides da Cunha,60585,^[^A-Z]*EUCLIDES[^A-Z]+DA[^A-Z]+CUNHA[^A-Z]*$
2901502,Anguera,11221,^[^A-Z]*ANGUERA[^A-Z]*$
2914505,Irará,29034,^[^A-Z]*IRARA[^A-Z]*$
2914505,Irará,29034,^[^A-Z]*IRARÁ[^A-Z]*$
2928307,Santanópolis,8943,^[^A-Z]*SANTANOPOLI[^A-Z]*S[^A-Z]*$
2928307,Santanópolis,8943,^[^A-Z]*SANTANÓPOLI[^A-Z]*S[^A-Z]*$
2929909,Seabra,44091,^[^A-Z]*SEABRA[^A-Z]*$
2924058,Pé de Serra,13578,^[^A-Z]*PE[^A-Z]+DE[^A-Z]+SERRA[^A-Z]*$
2924058,Pé de Serra,13578,^[^A-Z]*PÉ[^A-Z]+DE[^A-Z]+SERRA[^A-Z]*$
2919108,Lamarão,8307,^[^A-Z]*LAMARAO[^A-Z]*$
2919108,Lamarão,8307,^[^A-Z]*LAMARÃO[^A-Z]*$
2930402,Serra Preta,14878,^[^A-Z]*SERRA[^A-Z]+PRETA[^A-Z]*$
2906402,Candeal,8258,^[^A-Z]*CANDEAL[^A-Z]*$
2925907,Quijingue,27580,^[^A-Z]*QUIJINGUE[^A-Z]*$
2931400,Teodoro Sampaio,7425,^[^A-Z]*TEODORO[^A-Z]+SAMPAIO[^A-Z]*$
2906857,Capela do Alto Alegre,11637,^[^A-Z]*CAPELA[^A-Z]+DO[^A-Z]+ALTO[^A-Z]+ALEGRE[^A-Z]*$
2901700,Antônio Cardoso,11683,^[^A-Z]*ANTONIO[^A-Z]+CARDOSO[^A-Z]*$
2901700,Antônio Cardoso,11683,^[^A-Z]*ANTÔNIO[^A-Z]+CARDOSO[^A-Z]*$
2921906,Mucugê,9062,^[^A-Z]*MUCUGE[^A-Z]*$
2921906,Mucugê,9062,^[^A-Z]*MUCUGÊ[^A-Z]*$
2919603,Macajuba,11348,^[^A-Z]*MACAJUBA[^A-Z]*$
2913002,Ibitiara,16339,^[^A-Z]*IBITIARA[^A-Z]*$
2901304,Andaraí,13143,^[^A-Z]*ANDARAI[^A-Z]*$
2901304,Andaraí,13143,^[^A-Z]*ANDARAÍ[^A-Z]*$
2924306,Piatã,17123,^[^A-Z]*PIATA[^A-Z]*$
2924306,Piatã,17123,^[^A-Z]*PIATÃ[^A-Z]*$
2920809,Marcionílio Souza,10406,^[^A-Z]*MARCIONILIO[^A-Z]+SOUZA[^A-Z]*$
2920809,Marcionílio Souza,10406,^[^A-Z]*MARCIONÍLIO[^A-Z]+SOUZA[^A-Z]*$
2928950,São Domingos,9058,^[^A-Z]*SAO[^A-Z]+DOMINGOS[^A-Z]*$
2928950,São Domingos,9058,^[^A-Z]*SÃO[^A-Z]+DOMINGOS[^A-Z]*$
2913804,Ipecaetá,14487,^[^A-Z]*IPECAETA[^A-Z]*$
2913804,Ipecaetá,14487,^[^A-Z]*IPECAETÁ[^A-Z]*$
2932804,Utinga,19178,^[^A-Z]*UTINGA[^A-Z]*$
2903805,Boa Vista do Tupim,18576,^[^A-Z]*BOA[^A-Z]+VISTA[^A-Z]+DO[^A-Z]+TUPIM[^A-Z]*$
2900108,Abaíra,8739,^[^A-Z]*ABAIRA[^A-Z]*$
2900108,Abaíra,8739,^[^A-Z]*ABAÍRA[^A-Z]*$
2930808,Souto Soares,16979,^[^A-Z]*SOUTO[^A-Z]+SOARES[^A-Z]*$
2922730,Nova Fátima,7812,^[^A-Z]*NOVA[^A-Z]+FATIMA[^A-Z]*$
2922730,Nova Fátima,7812,^[^A-Z]*NOVA[^A-Z]+FÁTIMA[^A-Z]*$
2904001,Boninal,14368,^[^A-Z]*BONINAL[^A-Z]*$
2923506,Palmeiras,9019,^[^A-Z]*PALMEIRAS[^A-Z]*$
2922854,Nova Redenção,9118,^[^A-Z]*NOVA[^A-Z]+REDENCAO[^A-Z]*$
2922854,Nova Redenção,9118,^[^A-Z]*NOVA[^A-Z]+REDENÇÃO[^A-Z]*$
2913309,Ichu,6206,^[^A-Z]*ICHU[^A-Z]*$
2902609,Baixa Grande,20468,^[^A-Z]*BAIXA[^A-Z]+GRANDE[^A-Z]*$
2933406,Wagner,9345,^[^A-Z]*WAGNER[^A-Z]*$
2922102,Mundo Novo,26776,^[^A-Z]*MUNDO[^A-Z]+NOVO[^A-Z]*$
2903607,Biritinga,15979,^[^A-Z]*BIRITINGA[^A-Z]*$
2917508,Jacobina,80518,^[^A-Z]*JACOBINA[^A-Z]*$
2906873,Capim Grosso,30662,^[^A-Z]*CAPIM[^A-Z]+GROSSO[^A-Z]*$
2914604,Irecê,72967,^[^A-Z]*IRECE[^A-Z]*$
2914604,Irecê,72967,^[^A-Z]*IRECÊ[^A-Z]*$
2918357,João Dourado,25188,^[^A-Z]*JOAO[^A-Z]+DOURADO[^A-Z]*$
2918357,João Dourado,25188,^[^A-Z]*JOÃO[^A-Z]+DOURADO[^A-Z]*$
2932457,Umburanas,19222,^[^A-Z]*UMBURANAS[^A-Z]*$
2905107,Caém,9213,^[^A-Z]*CAEM[^A-Z]*$
2905107,Caém,9213,^[^A-Z]*CAÉM[^A-Z]*$
2920106,Mairi,18676,^[^A-Z]*MAIRI[^A-Z]*$
2905503,Caldeirão Grande,13327,^[^A-Z]*CALDEIRAO[^A-Z]+GRANDE[^A-Z]*$
2905503,Caldeirão Grande,13327,^[^A-Z]*CALDEIRÃO[^A-Z]+GRANDE[^A-Z]*$
2925600,Presidente Dutra,15142,^[^A-Z]*PRESIDENTE[^A-Z]+DUTRA[^A-Z]*$
2933604,Xique-Xique,46483,^[^A-Z]*XIQUE-XIQUE[^A-Z]*$
